companyName,SN,,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2
 訊達,6140,,-4.93,-3.25,-3.08,-3.84,-1.99,-3.07,-2.86,-1.03,-0.72,-0.57,-0.53,-1.21,-1.86,-0.43,-0.32,0.22,-0.22,-1.5
 柏承,6141,,-8.28,-6.15,-3.77,-19.11,-11.66,-6.75,-3.43,0.55,0.49,-0.42,-0.57,-3.01,-3.72,-2.37,-1.57,0.89,1.52,0.8
 友勁,6142,,4.86,6.22,7.59,-4.84,-3.2,-3.46,-2.46,-7.16,-5.63,-5.2,-2.41,2.97,2.34,2.65,1.09,4.68,1.94,-0.57
 振曜,6143,,-0.45,0.19,-3.66,21.79,17.61,2.37,4.34,19.49,10.04,5.21,4.69,30.64,21.71,16.79,7.06,21.65,9.58,4.75
 得利影,6144,,-2.78,-2.79,-0.94,0.19,-1.05,-0.6,-0.12,-0.58,-1.45,0.41,0.09,-8.73,-4.35,-2.45,-1.2,-9.13,-2.76,-3.96
 勁永,6145,,-0.03,0.05,0.35,3.05,2.95,2.33,2.27,2.98,0.16,-0.87,0.17,0.13,-0.24,0.2,1.15,7.07,5.11,2.87
 耕興,6146,,16.63,11.44,4.92,27.59,21.94,15.06,6.6,29.73,23.59,14.99,5.39,22.66,18.07,11.82,4.57,20.72,17.98,12.88
 頎邦,6147,,5.08,2.61,0.87,8.66,7.01,4.3,2.37,11.35,7.84,4.49,2.29,12.81,11.55,8.29,3.99,15.04,10.98,6.84
 驊宏資,6148,,-5.26,0.68,-0.09,-0.62,1.98,1.27,0.84,5.63,3.2,1.89,1.52,5.44,1.87,1.96,0.94,3.87,3.14,2.96
 撼訊,6150,,5.79,4.39,2.15,-59.4,-36.33,-29.72,-3.09,-20.76,-13.61,-5.17,3.87,-19.44,-15.65,-3.22,0.39,-12.13,-5.79,-3.19
 晉倫,6151,,10.47,7.66,3.56,14.98,10.51,6.99,3.34,7.99,6.63,4.85,2.13,10.08,7.9,6.73,2.71,6.29,4.85,3.37
